"Autor","Frecuencia"
"Agrawal, Rajeev",1
"Barlow, Chris",1
"Bassey, Joshua",1
"Chan, Poemen P",1
"Chen, Peng",1
"Cheng, Ching-Yu",1
"Cheung, Carol Y",1
"Day, Charles",1
"Du, Wei",1
"Fan, Zhong",1
"Fuller, Aidan",1
"Gao, Zhaolong",1
"Grayson, Matthew N",1
"Han, Yulong",1
"Jamwal, Anbesh",1
"Jindal, Neeru",1
"Lewis-Atwell, Toby",1
"Li, Jingxi",1
"Li, Xianfang",1
"Li, Yiwei",1
"Liu, Zetai",1
"Mengu, Deniz",1
"others",1
"Ozcan, Aydogan",1
"Qian, Lijun",1
"Rahman, Md Sadman Sakib",1
"Ran, An Ran",1
"Rim, Tyler Hyungtaek",1
"Rivenson, Yair",1
"Sharma, Monica",1
"Sharma, Neha",1
"Sharma, Reecha",1
"Tham, Clement C",1
"Tham, Yih-Chung",1
"Townsend, Piers A",1
"Wang, Bangfeng",1
"Zhang, Mingyu",1
"Zhang, Xingcai",1
"Zhou, Mengfan",1
